URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://farmaco.maxapex.net/brig/fhir/ValueSet/legal-basis-anvisa-br,0.0.3,draft,,LegalBasisANVISABR,Base Legal ANVISA Brasil,"Conjunto de valores para bases legais ANVISA","StructureDefinition/regulated-authorization-br","Internal"
http://farmaco.maxapex.net/brig/fhir/ValueSet/regulated-authorization-status-br,0.0.3,draft,,RegulatedAuthorizationStatusBR,Status de Autorização Regulatória Brasil,"Conjunto de valores para status de autorizações regulatórias ANVISA",,"Internal"
http://farmaco.maxapex.net/brig/fhir/ValueSet/regulated-authorization-type-br,0.0.3,draft,,RegulatedAuthorizationTypeBR,Tipo de Autorização Regulatória Brasil,"Conjunto de valores para tipos de autorizações regulatórias ANVISA","StructureDefinition/regulated-authorization-br","Internal"
http://farmaco.maxapex.net/brig/fhir/ValueSet/regulatory-procedure-type-br,0.0.3,draft,,RegulatoryProcedureTypeBR,Tipo de Procedimento Regulatório Brasil,"Conjunto de valores para tipos de procedimentos regulatórios",,"Internal"
http://farmaco.maxapex.net/brig/fhir/ValueSet/substance-classification-gsrs-br,0.0.3,draft,,SubstanceClassificationGSRSBR,Classificação de Substância GSRS/Brasil,"Conjunto de valores para classificação de substâncias GSRS e brasileiro",,"Internal,Other"
http://farmaco.maxapex.net/brig/fhir/ValueSet/substance-status-gsrs-br,0.0.3,draft,,SubstanceStatusGSRSBR,Status de Substância GSRS/Brasil,"Conjunto de valores para status de substâncias GSRS e brasileiro",,"Internal,Other"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/clinical-use-definition-br,StructureDefinition/exemplo-perfil-brasileiro,StructureDefinition/manufactured-item-definition-br,StructureDefinition/substance-definition-br,StructureDefinition/regulated-authorization-br,StructureDefinition/IngredientBR,StructureDefinition/administrable-product-definition-br,StructureDefinition/medicinal-product-definition-br,StructureDefinition/Organization-anvisa-simple,StructureDefinition/packaged-product-definition-br","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/country,5.0.0,draft,"2.16.840.1.113883.4.642.3.3297",CountryValueSet,Country ValueSet,"This value set defines a base set of codes for countries.             Note: The codes for countries are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html).","StructureDefinition/substance-definition-br,StructureDefinition/IngredientBR","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/identifier-type,5.0.0,active,"2.16.840.1.113883.4.642.3.45",IdentifierTypeCodes,Identifier Type Codes,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/clinical-use-definition-br,StructureDefinition/substance-definition-br,StructureDefinition/regulated-authorization-br,StructureDefinition/medicinal-product-definition-br,StructureDefinition/Organization-anvisa-simple,StructureDefinition/packaged-product-definition-br","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/clinical-use-definition-br,StructureDefinition/substance-definition-br,StructureDefinition/regulated-authorization-br,StructureDefinition/medicinal-product-definition-br,StructureDefinition/Organization-anvisa-simple,StructureDefinition/packaged-product-definition-br","hl7.fhir.r5.core"
