URL,Version,Status,OIDs,Name,Title,Description,Used
http://farmaco.maxapex.net/brig/fhir/CodeSystem/gsrs-substance-classification-br,0.0.3,draft,,GSRSSubstanceClassificationBR,GSRS Substance Classification - Brasil,"Classificação de substâncias conforme GSRS adaptado para Brasil",
http://farmaco.maxapex.net/brig/fhir/CodeSystem/gsrs-substance-status-br,0.0.3,draft,,GSRSSubstanceStatusBR,GSRS Substance Status - Brasil,"Status de substâncias conforme padrão GSRS adaptado para Brasil",
http://farmaco.maxapex.net/brig/fhir/CodeSystem/legal-basis-anvisa-br,0.0.3,draft,,LegalBasisANVISABR,Base Legal ANVISA,"Bases legais para autorizações regulatórias ANVISA",
http://farmaco.maxapex.net/brig/fhir/CodeSystem/regulated-authorization-status-br,0.0.3,draft,,RegulatedAuthorizationStatusBR,Status de Autorização Regulatória ANVISA,"Status de autorizações regulatórias conforme processos ANVISA para medicamentos",
http://farmaco.maxapex.net/brig/fhir/CodeSystem/regulated-authorization-type-br,0.0.3,draft,,RegulatedAuthorizationTypeBR,Tipo de Autorização Regulatória ANVISA,"Tipos de autorizações regulatórias conforme processos ANVISA para medicamentos",
http://farmaco.maxapex.net/brig/fhir/CodeSystem/regulatory-procedure-type-br,0.0.3,draft,,RegulatoryProcedureTypeBR,Tipo de Procedimento Regulatório Brasil,"Tipos de procedimentos regulatórios ANVISA",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/additional-monitoring-indicator,0.0.3,active,,AdditionalMonitoringIndicator,Indicador de Monitorização Adicional,"Indicadores de monitorização extra definidos para produtos medicinais que requerem acompanhamento intensivo pós-comercialização",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/administrable-property,0.0.3,draft,,AdministrableProperty,Propriedades Administráveis,"Sistema de códigos para propriedades de produtos administráveis (padrão internacional)",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/administrable-unit,0.0.3,draft,,AdministrableUnit,Unidades Administráveis,"Sistema de códigos para unidades de apresentação administrável (padrão internacional)",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/animal-tissue-type,0.0.3,active,,AnimalTissueType,Tipos de Tecido Animal,"Tipos de tecidos animais para os quais períodos de carência (withdrawal periods) são especificados em produtos veterinários",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/anvisa-category-br,0.0.3,draft,,ANVISACategoryBR,Categorias ANVISA - Brasil,"Sistema de códigos para categorias de produtos medicinais da ANVISA",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/anvisa-regulatory-status-br,0.0.3,draft,,ANVISARegulatoryStatusBR,Status Regulatório ANVISA - Brasil,"Sistema de códigos para status regulatório de substâncias na ANVISA",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/anvisa-substance-code,0.0.3,draft,,ANVISASubstanceCode,Códigos ANVISA de Substância,"Sistema de códigos específicos da ANVISA para substâncias",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/authorization-case-type,0.0.3,active,,AuthorizationCaseType,Tipo de Processo de Autorização,"Tipos de processos administrativos para autorização regulatória",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/authorization-status-reason,0.0.3,active,,AuthorizationStatusReason,Motivo do Status da Autorização,"Motivos para o status atual de uma autorização regulatória",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/biological-genus,0.0.3,active,,BiologicalGenus,Gênero Biológico,"Gêneros biológicos comuns em substâncias farmacêuticas",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/biological-species,0.0.3,active,,BiologicalSpecies,Espécie Biológica,"Espécies biológicas comuns em substâncias farmacêuticas",
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/brazilian-government-systems,0.0.3,draft,,BrazilianGovernmentSystems,Sistemas Oficiais do Governo Brasileiro,"Sistema de códigos para referenciar sistemas oficiais do governo brasileiro",
